bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Acacia genistifolia,3781,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Obligate seed regenerators — Fire-sensitive decreasers",NA
Dillwynia retorta,2850,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Obligate seed regenerators — Fire-sensitive decreasers",NA
Cassytha pubescens,3469,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Obligate seed regenerators — Fire-sensitive decreasers",NA
Pimelea linifolia,6182,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Obligate seed regenerators — Fire-sensitive decreasers",NA
Daucus glochidiatus,1109,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Daucus glochidiatus,1109,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Lactuca serriola,1550,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Lactuca serriola,1550,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Parentucellia latifolia,5992,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Parentucellia latifolia,5992,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Poranthera microphylla,7395,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Poranthera microphylla,7395,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Senecio quadridentatus,1675,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Senecio quadridentatus,1675,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Solanum nigrum,6091,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Solanum nigrum,6091,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Sonchus asper,1689,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Sonchus asper,1689,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Aira cupaniana,4731,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Aira cupaniana,4731,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Briza minor,4801,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Briza minor,4801,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Cyperus sanguinolentus,2395,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Cyperus sanguinolentus,2395,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Juncus capitatus,3324,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
Juncus capitatus,3324,Purdie Slatyer 1976,surv4,None,NA,NA,NA,"Class, Therophytes",NA
Lolium rigidum,5033,Purdie Slatyer 1976,surv1,None,NA,NA,NA,"Class, Therophytes",NA
